Airline_Name,Airport_Name,Average_Departure_Delay
"Alaska Airlines Inc.","Charleston AFB/International",27.133333333333333
"Allegiant Air","Palm Springs International",140.1818181818182
"American Airlines Inc.","Rick Husband Amarillo International",96.31372549019608
"Delta Air Lines Inc.","Juneau International",85.75
"Endeavor Air Inc.","Gainesville Regional",108
"Envoy Air","Harrisburg International",48.75
"Frontier Airlines Inc.","Jacksonville International",54.30909090909091
"Hawaiian Airlines Inc.","Logan International",72
"JetBlue Airways","Dallas/Fort Worth International",72.03448275862068
"PSA Airlines Inc.","Eglin AFB Destin Fort Walton Beach",48.2
"Republic Airline","Hilton Head Airport",26.625
"SkyWest Airlines Inc.","Fort Smith Regional",58.907407407407405
"Southwest Airlines Co.","Richmond International",17.1
"Spirit Air Lines","St Louis Lambert International",39.63333333333333
"United Air Lines Inc.","Ted Stevens Anchorage International",31.566666666666666
